DEPARTAMEN,PROVINCIA,DISTRITO,min,max,mean,count,std,percentile_10,percentile_90,range,riesgo_friaje
AMAZONAS,LUYA,LONYA CHICO,9.575331687927246,12.986018180847168,10.701159159342447,9,0.9732054272449735,,,,Bajo
SAN MARTIN,LAMAS,TABALOSOS,17.83441162109375,21.244020462036133,19.380589599609376,25,1.051484186067486,,,,Bajo
JUNIN,CONCEPCION,SANTA ROSA DE OCOPA,3.6725356578826904,5.415451526641846,4.662590662638347,3,0.7310424840126252,,,,Moderado
LIMA,LIMA,SANTA ROSA,17.60880470275879,17.872190475463867,17.745513916015625,4,0.10523293225624705,,,,Bajo
JUNIN,JAUJA,ATAURA,5.158380031585693,5.261096000671387,5.209737777709961,2,0.051357984543400084,,,,Moderado
LIMA,HUAROCHIRI,CALLAHUANCA,2.412048578262329,12.577227592468262,7.910916805267334,8,3.190311154431183,,,,Moderado
JUNIN,JAUJA,YAUYOS,3.707279920578003,4.986247539520264,4.359440803527832,4,0.4568940615901288,,,,Moderado
JUNIN,JAUJA,LLOCLLAPAMPA,1.4561847448349,4.281325340270996,2.818836732344194,11,0.8449344301116831,,,,Alto
ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,4.140166282653809,7.123264312744141,5.271440717909071,9,1.0344872393472264,,,,Moderado
ANCASH,HUARI,CAJAY,4.021151065826416,10.146946907043457,5.889416217803955,16,1.6393160273535874,,,,Moderado
ANCASH,ANTONIO RAYMONDI,ACZO,5.292291641235352,10.670512199401855,8.053780449761284,9,1.966786001004151,,,,Bajo
HUANUCO,HUAMALIES,MONZON,4.168577194213867,19.444002151489258,12.588352257097272,71,4.554082732303127,,,,Bajo
AMAZONAS,CHACHAPOYAS,MAGDALENA,9.015230178833008,12.329120635986328,10.649302395907315,11,1.213188532838282,,,,Bajo
AMAZONAS,LUYA,LONGUITA,7.517242908477783,11.284090995788574,9.256336757114955,7,1.263358098568786,,,,Bajo
SAN MARTIN,SAN MARTIN,SAN ANTONIO,18.997560501098633,21.349729537963867,20.248141479492187,10,0.777760875584074,,,,Bajo
CAJAMARCA,CHOTA,CHIMBAN,12.713916778564453,17.970766067504883,15.543198903401693,12,1.85436327255187,,,,Bajo
CAJAMARCA,CHOTA,MIRACOSTA,6.733508586883545,19.088014602661133,13.262910970052083,30,4.170883711473263,,,,Bajo
